N	Unused	Total	%Cov	%Cov(50)	%Cov(95)	Accession	Name	Species	Peptides(95%)			Biological Processes	Molecular Function	PANTHER ID
27	28.74	28.74	48.8999992609024	39.4600003957748	32.379999756813	ENST00000368764_23	[41 - 1819] cdna:known chromosome:GRCh37:1:152881021:152884362:1 gene:ENSG00000163207 gene_biotype:protein_coding transcript_biotype:protein_coding	23	16					
28	27.82	27.82	55.1199972629547	36.7500007152557	34.3800008296967	ENST00000332680_18	[1 - 1143] cdna:known chromosome:GRCh37:15:60639531:60690184:-1 gene:ENSG00000182718 gene_biotype:protein_coding transcript_biotype:protein_coding	18	17					
28	0	27.82	55.7500004768372	41.2999987602234	38.6400014162064	sp|P07355|ANXA2_HUMAN	Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2	HUMAN	17					
28	0	27.82	52.9399991035461	39.2199993133545	36.6899996995926	sp|P07355-2|ANXA2_HUMAN	Isoform 2 of Annexin A2 OS=Homo sapiens GN=ANXA2	HUMAN	17					
28	0	25.81	64.4500017166138	50.3899991512299	46.8800008296967	tr|H0YN42|H0YN42_HUMAN	Annexin (Fragment) OS=Homo sapiens GN=ANXA2 PE=1 SV=1	HUMAN	16					
29	27.79	27.79	47.859999537468	27.5499999523163	23.0499997735024	sp|O43707|ACTN4_HUMAN	Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2	HUMAN	15					
29	0	27.79	47.1399992704391	27.140000462532	22.6999998092651	ENST00000252699_32	[35 - 2809] cdna:known chromosome:GRCh37:19:39138310:39222223:1 gene:ENSG00000130402 gene_biotype:protein_coding transcript_biotype:protein_coding	32	15					
30	25.59	25.59	42.739999294281	26.8200010061264	22.6300001144409	ENST00000324460_32	[19 - 2166] cdna:known chromosome:GRCh37:9:127997132:128003609:-1 gene:ENSG00000044574 gene_biotype:protein_coding transcript_biotype:protein_coding	32	14					
30	0	25.59	42.3500001430511	29.3599992990494	24.770000576973	sp|P11021|GRP78_HUMAN	78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2	HUMAN	14					
31	25	25	53.4699976444244	45.0899988412857	40.7499998807907	sp|P04083|ANXA1_HUMAN	Annexin A1 OS=Homo sapiens GN=ANXA1 PE=1 SV=2	HUMAN	16					
31	0	25	51.529997587204	43.4500008821487	39.2800003290176	ENST00000376911_42	[844 - 1920] cdna:known chromosome:GRCh37:9:75772570:75785309:1 gene:ENSG00000135046 gene_biotype:protein_coding transcript_biotype:protein_coding	42	16					
31	0	25	47.6799994707108	40.2099996805191	36.3400012254715	ENST00000257497_19	[57 - 1220] cdna:known chromosome:GRCh37:9:75766673:75785309:1 gene:ENSG00000135046 gene_biotype:protein_coding transcript_biotype:protein_coding	19	16					
32	24.79	24.79	27.5799989700317	16.0899996757507	11.6899996995926	sp|A8K2U0|A2ML1_HUMAN	Alpha-2-macroglobulin-like protein 1 OS=Homo sapiens GN=A2ML1 PE=1 SV=3	HUMAN	15					
32	0	24.79	27.2199988365173	15.8899992704391	11.540000140667	ENST00000299698_77	[124 - 4542] cdna:known chromosome:GRCh37:12:8975068:9029381:1 gene:ENSG00000166535 gene_biotype:protein_coding transcript_biotype:protein_coding	77	15					
33	22.56	40.58	56.8499982357025	43.3200001716614	38.0699992179871	tr|F5GWP8|F5GWP8_HUMAN	Junction plakoglobin OS=Homo sapiens GN=JUP PE=1 SV=1	HUMAN	30					
34	21.33	21.33	43.8699990510941	23.7100005149841	19.3499997258186	ENST00000368300_19	[3 - 2204] cdna:known chromosome:GRCh37:1:156084498:156109880:1 gene:ENSG00000160789 gene_biotype:protein_coding transcript_biotype:protein_coding	19	10					
34	0	21.33	45.3299999237061	26.1999994516373	21.3899999856949	sp|P02545|LMNA_HUMAN	Prelamin-A/C OS=Homo sapiens GN=LMNA PE=1 SV=1	HUMAN	10					
34	0	19.64	43.8499987125397	25.2400010824203	20.1900005340576	sp|P02545-3|LMNA_HUMAN	Isoform ADelta10 of Prelamin-A/C OS=Homo sapiens GN=LMNA	HUMAN	9					
35	20.86	20.86	46.3099986314774	36.4100009202957	32.260000705719	sp|P06733|ENOA_HUMAN	Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2	HUMAN	12					
35	0	20.86	46.000000834465	36.1600011587143	32.039999961853	ENST00000234590_20	[112 - 1422] cdna:known chromosome:GRCh37:1:8921061:8938749:-1 gene:ENSG00000074800 gene_biotype:protein_coding transcript_biotype:protein_coding	20	12					
36	20.84	20.84	55.2600026130676	34.2299997806549	32.5199991464615	ENST00000563060_21	[119 - 1345] cdna:known chromosome:GRCh37:16:30075595:30081735:1 gene:ENSG00000149925 gene_biotype:protein_coding transcript_biotype:protein_coding	21	13					
36	0	20.81	46.2900012731552	27.3400008678436	25.9799987077713	ENST00000338110_32	[644 - 2179] cdna:known chromosome:GRCh37:16:30064411:30081735:1 gene:ENSG00000149925 gene_biotype:protein_coding transcript_biotype:protein_coding	32	13					
36	0	20.81	61.4099979400635	38.0400002002716	36.1400008201599	tr|J3KPS3|J3KPS3_HUMAN	Fructose-bisphosphate aldolase OS=Homo sapiens GN=ALDOA PE=1 SV=1	HUMAN	13					
36	0	20.81	48.8000005483627	33.4899991750717	31.8199992179871	sp|P04075-2|ALDOA_HUMAN	Isoform 2 of Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA	HUMAN	13					
36	0	20.81	53.5700023174286	38.4600013494492	36.5399986505508	sp|P04075|ALDOA_HUMAN	Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA PE=1 SV=2	HUMAN	13					
37	19.02	19.02	52.7300000190735	29.8799991607666	26.5599995851517	ENST00000331483_22	[212 - 1747] cdna:known chromosome:GRCh37:17:79801035:79818570:-1 gene:ENSG00000185624 gene_biotype:protein_coding transcript_biotype:protein_coding	22	11					
37	0	19.02	50.5900025367737	30.120000243187	26.7699986696243	sp|P07237|PDIA1_HUMAN	Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3	HUMAN	11					
37	0	19.02	50.220000743866	32.9699993133545	29.3099999427795	tr|H7BZ94|H7BZ94_HUMAN	Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=2	HUMAN	11					
37	0	19.02	51.6600012779236	33.9199990034103	30.1600009202957	tr|F5H8J2|F5H8J2_HUMAN	Uncharacterized protein OS=Homo sapiens GN=P4HB PE=1 SV=1	HUMAN	11					
38	19.01	19.01	42.8799986839294	19.1699996590614	14.1200006008148	ENST00000340482_34	[130 - 2508] cdna:known chromosome:GRCh37:17:56347217:56358296:-1 gene:ENSG00000005381 gene_biotype:protein_coding transcript_biotype:protein_coding	34	11					
38	0	19.01	42.2100007534027	19.5600003004074	14.4099995493889	sp|P05164-3|PERM_HUMAN	Isoform H7 of Myeloperoxidase OS=Homo sapiens GN=MPO	HUMAN	11					
38	0	19.01	41.7400002479553	20.3999996185303	15.0299996137619	sp|P05164|PERM_HUMAN	Myeloperoxidase OS=Homo sapiens GN=MPO PE=1 SV=1	HUMAN	11					
38	0	19.01	47.8500008583069	23.3799993991852	17.229999601841	sp|P05164-2|PERM_HUMAN	Isoform H14 of Myeloperoxidase OS=Homo sapiens GN=MPO	HUMAN	11					
39	18.75	18.75	34.1199994087219	19.200000166893	19.200000166893	sp|P08238|HS90B_HUMAN	Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4	HUMAN	11					
39	0	18.75	32.4999988079071	18.2899996638298	18.2899996638298	ENST00000371646_30	[2 - 2281] cdna:known chromosome:GRCh37:6:44214824:44221620:1 gene:ENSG00000096384 gene_biotype:protein_coding transcript_biotype:protein_coding	30	11					
40	18.66	18.66	48.2699990272522	27.2700011730194	25.7600009441376	sp|Q5VTE0|EF1A3_HUMAN	Putative elongation factor 1-alpha-like 3 OS=Homo sapiens GN=EEF1A1P5 PE=5 SV=1	HUMAN	11					
40	0	18.66	39.3900007009506	27.2700011730194	25.7600009441376	sp|P68104|EF1A1_HUMAN	Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1	HUMAN	11					
40	0	18.66	38.3899986743927	27.3299992084503	25.8100003004074	ENST00000318052_22	[1 - 1383] cdna:pseudogene chromosome:GRCh37:7:22550231:22551618:-1 gene:ENSG00000233476 gene_biotype:pseudogene transcript_biotype:pseudogene	22	11					
41	18.45	18.45	38.5600000619888	20.9000006318092	14.4099995493889	tr|E7ER44|E7ER44_HUMAN	Kaliocin-1 OS=Homo sapiens GN=LTF PE=1 SV=1	HUMAN	10					
41	0	18.45	39.2199993133545	21.2599992752075	14.6599993109703	tr|E7EQB2|E7EQB2_HUMAN	Kaliocin-1 (Fragment) OS=Homo sapiens GN=LTF PE=1 SV=1	HUMAN	10					
41	0	18.45	38.4499996900558	20.8499997854233	14.3700003623962	sp|P02788|TRFL_HUMAN	Lactotransferrin OS=Homo sapiens GN=LTF PE=1 SV=6	HUMAN	10					
41	0	18.45	33.7900012731552	18.3200001716614	12.6200005412102	ENST00000231751_38	[3 - 2426] cdna:known chromosome:GRCh37:3:46477136:46506653:-1 gene:ENSG00000012223 gene_biotype:protein_coding transcript_biotype:protein_coding	38	10					
41	0	18.45	37.83999979496	22.2200006246567	15.3200000524521	sp|P02788-2|TRFL_HUMAN	Isoform DeltaLf of Lactotransferrin OS=Homo sapiens GN=LTF	HUMAN	10					
42	18.18	18.18	71.7100024223328	54.6299993991852	54.6299993991852	sp|P04792|HSPB1_HUMAN	Heat shock protein beta-1 OS=Homo sapiens GN=HSPB1 PE=1 SV=2	HUMAN	14					
42	0	18.18	60.7400000095367	46.2799996137619	46.2799996137619	ENST00000248553_10	[59 - 784] cdna:known chromosome:GRCh37:7:75931861:75933612:1 gene:ENSG00000106211 gene_biotype:protein_coding transcript_biotype:protein_coding	10	14					
43	17.71	17.86	37.6199990510941	18.1500002741814	17.0900002121925	ENST00000402696_46	[315 - 2579] cdna:known chromosome:GRCh37:3:133464800:133497850:1 gene:ENSG00000091513 gene_biotype:protein_coding transcript_biotype:protein_coding	46	12					
43	0	17.86	32.5199991464615	19.6299999952316	18.4799998998642	sp|TRFE_HUMAN			12					
43	0	17.86	32.5199991464615	19.6299999952316	18.4799998998642	sp|P02787|TRFE_HUMAN	Serotransferrin OS=Homo sapiens GN=TF PE=1 SV=3	HUMAN	12					
43	0	15.77	28.549998998642	21.5399995446205	20.1399996876717	tr|J3KN47|J3KN47_HUMAN	Serotransferrin OS=Homo sapiens GN=TF PE=1 SV=1	HUMAN	11					
44	17.71	17.71	8.81199985742569	2.72300001233816	2.48000007122755	tr|E9PBJ0|E9PBJ0_HUMAN	Mucin-5B OS=Homo sapiens GN=MUC5B PE=4 SV=1	HUMAN	10					
44	0	17.71	8.81600007414818	2.72499993443489	2.48199999332428	sp|Q9HC84|MUC5B_HUMAN	Mucin-5B OS=Homo sapiens GN=MUC5B PE=1 SV=3	HUMAN	10					
44	0	17.71	8.78700017929077	2.71600000560284	2.47399993240833	ENST00000529681_165	[2 - 17344] cdna:novel chromosome:GRCh37:11:1244296:1283402:1 gene:ENSG00000117983 gene_biotype:protein_coding transcript_biotype:protein_coding	165	10					
45	17.04	27.54	52.7599990367889	30.8600008487701	23.2400000095367	ENST00000304620_22	[50 - 1624] cdna:known chromosome:GRCh37:12:53232746:53242778:-1 gene:ENSG00000170423 gene_biotype:protein_coding transcript_biotype:protein_coding	22	17					
45	0	27.54	49.4199991226196	31.1500012874603	23.4599992632866	sp|Q8N1N4|K2C78_HUMAN	Keratin, type II cytoskeletal 78 OS=Homo sapiens GN=KRT78 PE=2 SV=2	HUMAN	17					
46	16.78	20.92	44.0200001001358	28.3899992704391	20.5699995160103	tr|E9PKE3|E9PKE3_HUMAN	Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1	HUMAN	11					
46	0	20.92	42.7199989557266	27.5499999523163	19.9699997901917	sp|P11142|HSP7C_HUMAN	Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1	HUMAN	11					
46	0	20.92	40.5299991369247	26.1400014162064	18.9400002360344	ENST00000534624_32	[173 - 2215] cdna:known chromosome:GRCh37:11:122928197:122933043:-1 gene:ENSG00000109971 gene_biotype:protein_coding transcript_biotype:protein_coding	32	11					
46	0	20.92	40.2300000190735	25.9499996900558	18.7999993562698	ENST00000532636_29	[1 - 2058] cdna:putative chromosome:GRCh37:11:122928197:122932497:-1 gene:ENSG00000109971 gene_biotype:protein_coding transcript_biotype:protein_coding	29	11					
46	0	18.97	51.120001077652	28.7999987602234	23.9399999380112	sp|P11142-2|HSP7C_HUMAN	Isoform 2 of Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8	HUMAN	10					
47	16.64	16.64	29.4999986886978	16.159999370575	11.8699997663498	sp|P22735|TGM1_HUMAN	Protein-glutamine gamma-glutamyltransferase K OS=Homo sapiens GN=TGM1 PE=1 SV=4	HUMAN	8					
47	0	16.64	28.8300007581711	15.7900005578995	11.599999666214	ENST00000206765_31	[68 - 2575] cdna:known chromosome:GRCh37:14:24718320:24732416:-1 gene:ENSG00000092295 gene_biotype:protein_coding transcript_biotype:protein_coding	31	8					
48	16.58	16.58	38.1500005722046	22.7300003170967	22.7300003170967	ENST00000565184_30	[35 - 1882] cdna:known chromosome:GRCh37:15:72491373:72523512:-1 gene:ENSG00000067225 gene_biotype:protein_coding transcript_biotype:protein_coding	30	12					
48	0	16.58	41.5899991989136	24.779999256134	24.779999256134	ENST00000335181_28	[3 - 1697] cdna:known chromosome:GRCh37:15:72491373:72523547:-1 gene:ENSG00000067225 gene_biotype:protein_coding transcript_biotype:protein_coding	28	12					
48	0	16.58	40.6800001859665	26.3700008392334	26.3700008392334	sp|P14618|KPYM_HUMAN	Pyruvate kinase PKM OS=Homo sapiens GN=PKM PE=1 SV=4	HUMAN	12					
48	0	16.58	40.6800001859665	26.3700008392334	26.3700008392334	sp|P14618-2|KPYM_HUMAN	Isoform M1 of Pyruvate kinase PKM OS=Homo sapiens GN=PKM	HUMAN	12					
48	0	16.58	41.2400007247925	28.8700014352798	28.8700014352798	tr|H3BTN5|H3BTN5_HUMAN	Pyruvate kinase (Fragment) OS=Homo sapiens GN=PKM PE=1 SV=1	HUMAN	12					
49	16.53	22.04	57.0900022983551	44.9400007724762	40.8899992704391	tr|E9PAL0|E9PAL0_HUMAN	Basic salivary proline-rich protein 4 OS=Homo sapiens GN=PRB4 PE=4 SV=1	HUMAN	17					
49	0	22.04	45.4800009727478	35.809999704361	32.5800001621246	sp|P10163|PRB4_HUMAN	Basic salivary proline-rich protein 4 OS=Homo sapiens GN=PRB4 PE=1 SV=4	HUMAN	17					
50	16.32	16.32	28.2700002193451	15.4499992728233	12.0399996638298	sp|P01833|PIGR_HUMAN	Polymeric immunoglobulin receptor OS=Homo sapiens GN=PIGR PE=1 SV=4	HUMAN	11					
50	0	16.32	26.1799991130829	14.300000667572	11.150000244379	ENST00000356495_34	[2 - 2476] cdna:known chromosome:GRCh37:1:207101863:207119811:-1 gene:ENSG00000162896 gene_biotype:protein_coding transcript_biotype:protein_coding	34	11					
51	16.18	16.18	45.8999991416931	18.4200003743172	16.5500000119209	ENST00000349847_30	[64 - 2148] cdna:known chromosome:GRCh37:13:78109895:78218644:1 gene:ENSG00000136155 gene_biotype:protein_coding transcript_biotype:protein_coding	30	9					
51	0	16.18	44.6200013160706	18.6000004410744	16.7199999094009	sp|O95171|SCEL_HUMAN	Sciellin OS=Homo sapiens GN=SCEL PE=1 SV=2	HUMAN	9					
